"table_schema";"table_name";"column_name";"data_type";"character_maximum_length";"is_nullable";"column_default";"column_description"
"admin";"01.employee_view";"employee_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"email";"character varying";100;"YES";"null";"null"
"admin";"01.employee_view";"password";"character varying";50;"YES";"null";"null"
"admin";"01.employee_view";"fio";"character varying";100;"YES";"null";"null"
"admin";"01.employee_view";"is_active";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"last_login";"timestamp without time zone";null;"YES";"null";"null"
"admin";"01.employee_view";"rowversion";"timestamp without time zone";null;"YES";"null";"null"
"admin";"01.employee_view";"provider_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"okk_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"contractor_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"inner_master_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"position_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"position_code";"character varying";20;"YES";"null";"null"
"admin";"01.employee_view";"position_name";"character varying";50;"YES";"null";"null"
"admin";"01.employee_view";"is_kpi";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"is_only_read";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"crm_role_id";"integer";null;"YES";"null";"null"
"admin";"01.employee_view";"crm_role_code";"character varying";50;"YES";"null";"null"
"admin";"01.employee_view";"crm_role_name";"character varying";300;"YES";"null";"null"
"admin";"01.employee_view";"warehouse_id";"integer";null;"YES";"null";"null"
"admin";"audit_phone_tab";"audit_phone_id";"integer";null;"NO";"nextval('admin.audit_phone_tab_audit_phone_id_seq'::regclass)";"null"
"admin";"audit_phone_tab";"employee_id";"integer";null;"YES";"null";"null"
"admin";"audit_phone_tab";"crm_deal_id";"integer";null;"YES";"null";"null"
"admin";"audit_phone_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"audit_phone_tab";"client_id";"integer";null;"YES";"null";"null"
"admin";"audit_phone_tab";"client_request_id";"integer";null;"YES";"null";"null"
"admin";"bpm_position_tab";"bpm_position_id";"integer";null;"NO";"nextval('admin.bpm_position_tab_bpm_position_id_seq'::regclass)";"Должности для БПМ процессов"
"admin";"bpm_position_tab";"bpm_position_name";"character varying";50;"NO";"null";"null"
"admin";"bpm_position_tab";"bpm_position_code";"character varying";30;"NO";"null";"null"
"admin";"bpm_position_tab";"is_active";"integer";null;"NO";"1";"null"
"admin";"bpm_position_tab";"is_single";"integer";null;"NO";"0";"1 - можно назначить эту должность только одному человеку
0 - можно назначать эту должность многим"
"admin";"bpm_position_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"bpm_position_tab";"work_days";"character varying";30;"YES";"null";"Какие дни рабочие"
"admin";"bpm_position_tab";"work_hour";"character varying";10;"YES";"null";"Время работы"
"admin";"bpm_position_tab";"group_code";"character varying";250;"YES";"null";"null"
"admin";"bpmn_help_tab";"bpmn_help_id";"integer";null;"NO";"nextval('admin.bpmn_help_tab_bpmn_help_id_seq'::regclass)";"null"
"admin";"bpmn_help_tab";"bpmn_settings_id";"integer";null;"NO";"null";"null"
"admin";"bpmn_help_tab";"video_url";"character varying";500;"YES";"null";"null"
"admin";"bpmn_help_tab";"description";"text";null;"YES";"null";"null"
"admin";"bpmn_settings_tab";"bpmn_settings_id";"integer";null;"NO";"nextval('admin.bpmn_settings_tab_bpmn_settings_id_seq'::regclass)";"null"
"admin";"bpmn_settings_tab";"bpmn_settings_name";"character varying";250;"NO";"null";"null"
"admin";"bpmn_settings_tab";"bpmn_settings_code";"character varying";50;"YES";"null";"null"
"admin";"bpmn_settings_tab";"bpmn_definition_id";"character varying";250;"NO";"null";"null"
"admin";"bpmn_settings_tab";"bpmn_image_url";"character varying";250;"YES";"null";"null"
"admin";"bpmn_settings_tab";"is_active";"integer";null;"NO";"1";"1-процесс активен, 0-процесс неактивен"
"admin";"bpmn_settings_tab";"bpmn_definition_key";"character varying";100;"NO";"null";"null"
"admin";"bpmn_settings_tab";"video_url";"character varying";500;"YES";"null";"null"
"admin";"city_tab";"city_id";"integer";null;"NO";"null";"Таблица городов"
"admin";"city_tab";"city_name";"character varying";50;"NO";"null";"Название города"
"admin";"city_tab";"city_code";"character varying";50;"NO";"null";"Код"
"admin";"city_tab";"is_active";"integer";null;"NO";"1";"Признак активности (по умолчанию 1)"
"admin";"city_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Версия записи"
"admin";"city_tab";"country_id";"integer";null;"YES";"null";"Страна"
"admin";"device_tab";"device_id";"integer";null;"NO";"nextval('admin.device_tab_device_id_seq'::regclass)";"null"
"admin";"device_tab";"email";"character varying";100;"NO";"null";"null"
"admin";"device_tab";"finger";"character varying";30;"NO";"null";"null"
"admin";"device_tab";"ip_address";"character varying";30;"NO";"null";"null"
"admin";"device_tab";"is_allow";"integer";null;"NO";"0";"null"
"admin";"device_tab";"employee_id";"integer";null;"YES";"null";"null"
"admin";"device_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"device_tab";"code_key";"integer";null;"YES";"null";"null"
"admin";"employee_city_tab";"employee_city_id";"integer";null;"NO";"nextval('admin.employee_city_tab_employee_city_id_seq1'::regclass)";"null"
"admin";"employee_city_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_city_tab";"city_id";"integer";null;"NO";"null";"null"
"admin";"employee_city_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_company_tab";"employee_company_id";"integer";null;"NO";"nextval('admin.employee_company_tab_employee_company_id_seq'::regclass)";"null"
"admin";"employee_company_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_company_tab";"company_id";"integer";null;"NO";"null";"null"
"admin";"employee_company_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_contractor_tab";"employee_contractor_id";"integer";null;"NO";"nextval('admin.employee_contractor_tab_employee_contractor_id_seq'::regclass)";"null"
"admin";"employee_contractor_tab";"employee_id";"integer";null;"NO";"null";"Пользователь"
"admin";"employee_contractor_tab";"contractor_id";"integer";null;"NO";"null";"Подрядчик"
"admin";"employee_department_role_tab";"employee_department_role_id";"integer";null;"NO";"nextval('admin.employee_department_role_tab_employee_department_role_id_seq'::regclass)";"null"
"admin";"employee_department_role_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_department_role_tab";"department_role_id";"integer";null;"NO";"null";"null"
"admin";"employee_department_role_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_department_tab";"employee_department_id";"integer";null;"NO";"nextval('admin.employee_department_tab_employee_department_id_seq'::regclass)";"null"
"admin";"employee_department_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_department_tab";"department_id";"integer";null;"NO";"null";"null"
"admin";"employee_department_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_grant_tab";"employee_grant_id";"integer";null;"NO";"nextval('admin.employee_grant_tab_employee_grant_id_seq'::regclass)";"null"
"admin";"employee_grant_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_grant_tab";"grant_id";"integer";null;"NO";"null";"null"
"admin";"employee_grant_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_grant_tab";"date_begin";"date";null;"YES";"null";"Начало действия права"
"admin";"employee_grant_tab";"date_end";"date";null;"YES";"null";"null"
"admin";"employee_grant_tab";"company_id";"integer";null;"NO";"1";"null"
"admin";"employee_group_tab";"employee_group_id";"integer";null;"NO";"nextval(('admin.employee_group_tab_employee_group_id_seq'::text)::regclass)";"Идентификатор группы сотрудника"
"admin";"employee_group_tab";"employee_id";"integer";null;"NO";"null";"Идентификатор сотрудника"
"admin";"employee_group_tab";"group_id";"integer";null;"NO";"null";"Идентификатор группы"
"admin";"employee_group_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"employee_group_tab";"company_id";"integer";null;"NO";"1";"null"
"admin";"employee_menu_tab";"employee_menu_id";"integer";null;"NO";"nextval('admin.employee_menu_tab_employee_menu_id_seq'::regclass)";"null"
"admin";"employee_menu_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_menu_tab";"menu_id";"integer";null;"NO";"null";"null"
"admin";"employee_menu_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_menu_tab";"date_begin";"date";null;"YES";"null";"Начало действия меню"
"admin";"employee_menu_tab";"date_end";"date";null;"YES";"null";"null"
"admin";"employee_menu_tab";"company_id";"integer";null;"NO";"1";"null"
"admin";"employee_module_tab";"employee_module_id";"integer";null;"NO";"nextval('admin.employee_module_tab_employee_module_id_seq'::regclass)";"Доступ пользователей к подсистемам"
"admin";"employee_module_tab";"employee_id";"integer";null;"YES";"null";"null"
"admin";"employee_module_tab";"module_id";"integer";null;"YES";"null";"null"
"admin";"employee_module_tab";"initiator_id";"integer";null;"YES";"null";"null"
"admin";"employee_module_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_module_tab";"with_grant_option";"boolean";null;"NO";"false";"true - пользователь может дать доступ на этот модуль другому пользователю через модуль Администрирования"
"admin";"employee_tab";"employee_id";"integer";null;"NO";"nextval(('admin.employee_tab_employee_id_seq'::text)::regclass)";"Идентификатор сотрудника"
"admin";"employee_tab";"email";"character varying";100;"NO";"null";"email сотрудника(для восстановления пароля)"
"admin";"employee_tab";"password";"character varying";50;"NO";"null";"Пароль сотрудника"
"admin";"employee_tab";"fio";"character varying";100;"NO";"null";"ФИО сотрудника"
"admin";"employee_tab";"is_active";"integer";null;"NO";"1";"Признак активности. 0 - не активный, 1 - активный. По умолчанию 1"
"admin";"employee_tab";"last_login";"timestamp without time zone";null;"YES";"null";"Дата и время последнего входа в систему"
"admin";"employee_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"Дата и время изменения"
"admin";"employee_tab";"provider_id";"integer";null;"YES";"null";"Если пользователь является поставщиком, то указываем поставщика"
"admin";"employee_tab";"okk_id";"integer";null;"YES";"null";"Если пользователь является ОКК.
Может быть либо ОКК либо Провайдер"
"admin";"employee_tab";"contractor_id";"integer";null;"YES";"null";"Если пользователь является подрядчиком, то указываем подрядчика"
"admin";"employee_tab";"inner_master_id";"integer";null;"YES";"null";"Если пользователь внутренний мастер"
"admin";"employee_tab";"position_id";"integer";null;"NO";"null";"Должность сотрудника.
Участвует в логике системы по коду"
"admin";"employee_tab";"mobile_token";"character varying";250;"YES";"null";"Токен из мобильного приложения"
"admin";"employee_tab";"company_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"phone";"character varying";50;"YES";"null";"Телефон сотрудника"
"admin";"employee_tab";"image_url";"text";null;"YES";"null";"Аватарка"
"admin";"employee_tab";"image_url_orig";"text";null;"YES";"null";"Аватар оригинал"
"admin";"employee_tab";"is_show_all_remonts";"integer";null;"NO";"0";"Показывать все ремонты для данной должности"
"admin";"employee_tab";"is_write_chat_message";"integer";null;"NO";"1";"Может ли пользователь писать в чат (1 - да, 0 - нет)"
"admin";"employee_tab";"mobile_token_id";"character varying";50;"YES";"null";"Первые 10 символов от mobile"
"admin";"employee_tab";"sh_contractor_id";"integer";null;"YES";"null";"Подрядчик УД"
"admin";"employee_tab";"is_kpi";"integer";null;"YES";"0";"Возможность проставлять KPI"
"admin";"employee_tab";"is_only_read";"integer";null;"NO";"0";"1 - пользователь только для чтения
0 - обычный наш пользователь"
"admin";"employee_tab";"is_subscribe";"integer";null;"NO";"1";"Подписан ли пользователь на уведомления
0 - не подписан, 1 - подписан"
"admin";"employee_tab";"application_code";"character varying";50;"YES";"null";"На какое приложение отправлять пуш уведомление"
"admin";"employee_tab";"guid";"character varying";250;"YES";"null";"ГУИД для хантеров в 1С"
"admin";"employee_tab";"supplier_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"crm_role_id";"integer";null;"YES";"null";"Роль CRM"
"admin";"employee_tab";"auth_token";"character varying";250;"YES";"null";"Токен для моб. приложении (Smart бригадир, Smart мастер)"
"admin";"employee_tab";"techproject_developer_id";"integer";null;"YES";"null";"Если пользователь является разработчиком тех проекта, то указываем разработчика тех проекта"
"admin";"employee_tab";"warehouse_id";"integer";null;"YES";"null";"Склад сотрудника"
"admin";"employee_tab";"process_id";"character varying";150;"YES";"null";"null"
"admin";"employee_tab";"cleaning_id";"integer";null;"YES";"null";"Если пользователь контрагент клининга"
"admin";"employee_tab";"is_superuser";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"is_internal";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"juridic_type";"integer";null;"YES";"null";"1 ИП, 2 ТОО"
"admin";"employee_tab";"phone_number";"character varying";50;"YES";"null";"null"
"admin";"employee_tab";"smart_filial_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"city_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"partner_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"company_name";"character varying";100;"YES";"null";"null"
"admin";"employee_tab";"bin";"character varying";15;"YES";"null";"null"
"admin";"employee_tab";"juridic_address";"character varying";500;"YES";"null";"null"
"admin";"employee_tab";"bank_name";"character varying";250;"YES";"null";"null"
"admin";"employee_tab";"bank_account_num";"character varying";40;"YES";"null";"null"
"admin";"employee_tab";"bik";"character varying";15;"YES";"null";"null"
"admin";"employee_tab";"buh_fio";"character varying";100;"YES";"null";"null"
"admin";"employee_tab";"buh_phone";"character varying";30;"YES";"null";"null"
"admin";"employee_tab";"is_staff";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"bpm_position_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"telegram_chat_id";"character varying";50;"YES";"null";"Чат ID Телеграм чата(Бот)"
"admin";"employee_tab";"camunda_id";"character varying";50;"YES";"null";"ID сотрудника в camunda"
"admin";"employee_tab";"sale_point_id";"integer";null;"YES";"null";"Отдел сотрудника ОП"
"admin";"employee_tab";"sign_fio";"character varying";100;"YES";"null";"ФИО подписывающего лица"
"admin";"employee_tab";"sign_type";"integer";null;"YES";"null";"Подписант
1 - Первый руководитель
2 - Доверенное лицо"
"admin";"employee_tab";"is_black_list";"boolean";null;"YES";"null";"null"
