"from_schema";"from_table";"from_col";"to_schema";"to_table";"to_col";"constraint_name"
"admin";"audit_phone_tab";"crm_deal_id";"sale";"crm_deal_tab";"crm_deal_id";"audit_phone_tab_crm_deal_id_fkey"
"admin";"audit_phone_tab";"employee_id";"admin";"employee_tab";"employee_id";"audit_phone_tab_employee_id_fkey"
"admin";"audit_phone_tab";"client_id";"public";"client_tab";"client_id";"audit_phone_tab_fk"
"admin";"audit_phone_tab";"client_request_id";"public";"client_request_tab";"client_request_id";"audit_phone_tab_fk1"
"admin";"bpmn_help_tab";"bpmn_settings_id";"admin";"bpmn_settings_tab";"bpmn_settings_id";"bpmn_settings_fk"
"admin";"city_tab";"country_id";"public";"country_tab";"country_id";"city_tab_fk"
"admin";"employee_city_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_city_tab_fk"
"admin";"employee_city_tab";"city_id";"admin";"city_tab";"city_id";"employee_city_tab_fk1"
"admin";"employee_company_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_company_tab_fk"
"admin";"employee_company_tab";"company_id";"public";"company_tab";"company_id";"employee_company_tab_fk1"
"admin";"employee_contractor_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_contractor_tab_fk"
"admin";"employee_contractor_tab";"contractor_id";"public";"contractor_tab";"contractor_id";"employee_contractor_tab_fk1"
"admin";"employee_department_role_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_department_role_tab_fk"
"admin";"employee_department_role_tab";"department_role_id";"public";"department_role_tab";"department_role_id";"employee_department_role_tab_fk1"
"admin";"employee_department_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_department_tab_fk"
"admin";"employee_department_tab";"department_id";"public";"department_tab";"department_id";"employee_department_tab_fk1"
"admin";"employee_grant_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_grant_tab_fk"
"admin";"employee_grant_tab";"grant_id";"admin";"grant_tab";"grant_id";"employee_grant_tab_fk1"
"admin";"employee_grant_tab";"company_id";"public";"company_tab";"company_id";"employee_grant_tab_fk2"
"admin";"employee_group_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_group_tab_fk"
"admin";"employee_group_tab";"group_id";"admin";"group_tab";"group_id";"employee_group_tab_fk1"
"admin";"employee_group_tab";"company_id";"public";"company_tab";"company_id";"employee_group_tab_fk2"
"admin";"employee_menu_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_menu_tab_fk"
"admin";"employee_menu_tab";"menu_id";"admin";"menu_tab";"menu_id";"employee_menu_tab_fk1"
"admin";"employee_menu_tab";"company_id";"public";"company_tab";"company_id";"employee_menu_tab_fk2"
"admin";"employee_module_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_module_tab_fk"
"admin";"employee_module_tab";"initiator_id";"admin";"employee_tab";"employee_id";"employee_module_tab_fk1"
"admin";"employee_module_tab";"module_id";"admin";"module_tab";"module_id";"employee_module_tab_fk2"
"admin";"employee_tab";"provider_id";"public";"provider_tab";"provider_id";"employee_tab_fk"
"admin";"employee_tab";"okk_id";"public";"okk_tab";"okk_id";"employee_tab_fk1"
"admin";"employee_tab";"warehouse_id";"wh";"warehouse_tab";"warehouse_id";"employee_tab_fk10"
"admin";"employee_tab";"cleaning_id";"public";"cleaning_tab";"cleaning_id";"employee_tab_fk11"
"admin";"employee_tab";"bpm_position_id";"admin";"bpm_position_tab";"bpm_position_id";"employee_tab_fk12"
"admin";"employee_tab";"sale_point_id";"public";"sale_point_tab";"sale_point_id";"employee_tab_fk13"
"admin";"employee_tab";"contractor_main_id";"partner";"contractor_main_tab";"contractor_main_id";"employee_tab_fk14"
"admin";"employee_tab";"department_id";"public";"department_tab";"department_id";"employee_tab_fk15"
"admin";"employee_tab";"fulfillment_id";"public";"fulfillment_tab";"fulfillment_id";"employee_tab_fk16"
"admin";"employee_tab";"sale_department_id";"sale";"sale_department_tab";"sale_department_id";"employee_tab_fk17"
"admin";"employee_tab";"team_master_id";"partner";"team_master_tab";"team_master_id";"employee_tab_fk18"
"admin";"employee_tab";"office_id";"public";"office_tab";"office_id";"employee_tab_fk19"
"admin";"employee_tab";"contractor_id";"public";"contractor_tab";"contractor_id";"employee_tab_fk2"
"admin";"employee_tab";"selected_module_id";"admin";"module_tab";"module_id";"employee_tab_fk20"
"admin";"employee_tab";"inner_master_id";"public";"inner_master_tab";"inner_master_id";"employee_tab_fk3"
"admin";"employee_tab";"position_id";"admin";"position_tab";"position_id";"employee_tab_fk4"
"admin";"employee_tab";"selected_company_id";"public";"company_tab";"company_id";"employee_tab_fk5"
"admin";"employee_tab";"sh_contractor_id";"public";"sh_contractor_tab";"sh_contractor_id";"employee_tab_fk6"
"admin";"employee_tab";"crm_role_id";"crm";"crm_role_tab";"crm_role_id";"employee_tab_fk8"
"admin";"employee_tab";"techproject_developer_id";"public";"techproject_developer_tab";"techproject_developer_id";"employee_tab_fk9"
"admin";"employee_taxopark_tab";"employee_id";"admin";"employee_tab";"employee_id";"employee_taxopark_tab_fk"
"admin";"employee_taxopark_tab";"taxopark_id";"public";"taxopark_tab";"taxopark_id";"employee_taxopark_tab_fk1"
"admin";"front_employee_token_tab";"employee_id";"admin";"employee_tab";"employee_id";"front_employee_token_tab_fk"
"admin";"front_employee_token_tab";"client_request_id";"public";"client_request_tab";"client_request_id";"front_employee_token_tab_fk1"
"admin";"front_employee_token_tab";"crm_deal_id";"sale";"crm_deal_tab";"crm_deal_id";"front_employee_token_tab_fk2"
"admin";"func_grant_tab";"func_id";"admin";"func_tab";"func_id";"func_grant_tab_fk"
"admin";"func_grant_tab";"grant_id";"admin";"grant_tab";"grant_id";"func_grant_tab_fk1"
"admin";"grant_tab";"grant_pid";"admin";"grant_tab";"grant_id";"grant_tab_fk"
"admin";"grant_tab";"module_id";"admin";"module_tab";"module_id";"grant_tab_fk1"
"admin";"grant_tab";"user_right_id";"admin";"to_delete__user_right_tab";"user_right_id";"grant_tab_fk2"
"admin";"group_grant_tab";"group_id";"admin";"group_tab";"group_id";"group_grant_tab_fk"
"admin";"group_grant_tab";"grant_id";"admin";"grant_tab";"grant_id";"group_grant_tab_fk1"
"admin";"group_grant_tab";"company_id";"public";"company_tab";"company_id";"group_grant_tab_fk2"
"admin";"group_menu_tab";"group_id";"admin";"group_tab";"group_id";"group_menu_tab_fk"
"admin";"group_menu_tab";"menu_id";"admin";"menu_tab";"menu_id";"group_menu_tab_fk1"
"admin";"group_menu_tab";"company_id";"public";"company_tab";"company_id";"group_menu_tab_fk2"
"admin";"group_tab";"module_id";"admin";"module_tab";"module_id";"group_tab_fk"
"admin";"menu_tab";"menu_pid";"admin";"menu_tab";"menu_id";"menu_tab_fk"
"admin";"menu_tab";"module_id";"admin";"module_tab";"module_id";"menu_tab_fk1"
"admin";"position_tab";"module_id";"admin";"module_tab";"module_id";"position_tab_fk"
"admin";"to_delete__user_right_item_tab";"user_right_id";"admin";"to_delete__user_right_tab";"user_right_id";"user_right_item_tab_fk"
"admin";"to_delete__user_right_item_tab";"employee_id";"admin";"employee_tab";"employee_id";"user_right_item_tab_fk1"
"backend";"contractor_agreement_list_document_tab";"contractor_agreement_list_type_id";"public";"contractor_agreement_list_type_tab";"contractor_agreement_list_type_id";"contractor_agreement_list_doc_contractor_agreement_list_ty_fkey"
"backend";"finance_payment_document_tab";"employee_id";"admin";"employee_tab";"employee_id";"finance_payment_document_tab_employee_id_fkey"
"backend";"finance_payment_document_tab";"finance_payment_id";"public";"finance_payment_tab";"finance_payment_id";"finance_payment_document_tab_finance_payment_id_fkey"
"backend";"refund_payment_item_tab";"contractor_agreement_list_id";"public";"contractor_agreement_list_tab";"contractor_agreement_list_id";"refund_payment_item_tab_fk"
"backend";"refund_payment_item_tab";"refund_payment_id";"backend";"refund_payment_tab";"refund_payment_id";"refund_payment_item_tab_fk1"
"backend";"refund_payment_item_tab";"remont_costs_id";"public";"remont_costs_tab";"remont_costs_id";"refund_payment_item_tab_fk2"
"backend";"refund_payment_tab";"contractor_id";"public";"contractor_tab";"contractor_id";"refund_payment_tab_fk"
"backend";"refund_payment_tab";"provider_id";"public";"provider_tab";"provider_id";"refund_payment_tab_fk1"
"backend";"refund_payment_tab";"techproject_developer_id";"public";"techproject_developer_tab";"techproject_developer_id";"refund_payment_tab_fk2"
"backend";"refund_payment_tab";"initiator_company_id";"public";"initiator_company_tab";"initiator_company_id";"refund_payment_tab_fk3"
"backend";"refund_payment_tab";"employee_id";"admin";"employee_tab";"employee_id";"refund_payment_tab_fk4"
"backend";"refund_payment_tab";"refund_payment_status_id";"backend";"refund_payment_status_tab";"refund_payment_status_id";"refund_payment_tab_fk5"
"backend";"refund_payment_tab";"refund_payment_type_id";"backend";"refund_payment_type_tab";"refund_payment_type_id";"refund_payment_tab_fk6"
"buh";"client_request_accept_tab";"client_request_id";"public";"client_request_tab";"client_request_id";"client_request_accept_tab_fk"
"buh";"client_request_accept_tab";"remont_id";"public";"remont_tab";"remont_id";"client_request_accept_tab_fk1"
"buh";"error_remont_journal_tab";"remont_id";"public";"remont_tab";"remont_id";"error_remont_journal_tab_fk"
"buh";"remont_journal_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_journal_tab_fk"
"crm";"big_employee_tab";"department_id";"crm";"department_tab";"department_id";"big_employee_tab_fk"
"crm";"to_delete__check_list_tab";"event_id";"crm";"to_delete__event_tab";"event_id";"check_list_tab_fk"
"crm";"to_delete__client_card_contact_tab";"client_card_id";"crm";"to_delete__client_card_tab";"client_card_id";"client_card_contact_tab_fk"
"crm";"to_delete__client_deal_tab";"origin_id";"crm";"origin_tab";"origin_id";"client_deal_tab_fk"
"crm";"to_delete__client_deal_tab";"client_card_id";"crm";"to_delete__client_card_tab";"client_card_id";"client_deal_tab_fk1"
"crm";"to_delete__client_deal_tab";"resident_id";"public";"resident_tab";"resident_id";"client_deal_tab_fk2"
"crm";"to_delete__client_deal_tab";"failure_reason_id";"crm";"to_delete__failure_reason_tab";"failure_reason_id";"client_deal_tab_fk3"
"crm";"to_delete__client_deal_tab";"client_request_id";"public";"client_request_tab";"client_request_id";"client_deal_tab_fk4"
"crm";"to_delete__client_deal_tab";"call_center_employee_id";"admin";"employee_tab";"employee_id";"client_deal_tab_fk5"
"crm";"to_delete__client_deal_tab";"manager_op_employee_id";"admin";"employee_tab";"employee_id";"client_deal_tab_fk6"
"crm";"to_delete__client_deal_tab";"deal_status_id";"crm";"to_delete__deal_status_tab";"deal_status_id";"client_deal_tab_fk7"
"crm";"to_delete__client_deal_tab";"city_id";"admin";"city_tab";"city_id";"client_deal_tab_fk8"
"crm";"to_delete__client_deal_tab";"big_employee_id";"crm";"big_employee_tab";"big_employee_id";"client_deal_tab_fk9"
"crm";"to_delete__deal_check_list_tab";"check_list_id";"crm";"to_delete__check_list_tab";"check_list_id";"deal_check_list_tab_fk"
"crm";"to_delete__deal_check_list_tab";"client_deal_id";"crm";"to_delete__client_deal_tab";"client_deal_id";"deal_check_list_tab_fk1"
"crm";"to_delete__deal_check_list_tab";"deal_event_id";"crm";"to_delete__deal_event_tab";"deal_event_id";"deal_check_list_tab_fk2"
"crm";"to_delete__deal_event_tab";"event_id";"crm";"to_delete__event_tab";"event_id";"deal_event_tab_fk"
"crm";"to_delete__deal_event_tab";"client_deal_id";"crm";"to_delete__client_deal_tab";"client_deal_id";"deal_event_tab_fk1"
"crm";"to_delete__deal_event_tab";"event_employee_id";"admin";"employee_tab";"employee_id";"deal_event_tab_fk2"
"crm";"to_delete__deal_status_history_tab";"client_deal_id";"crm";"to_delete__client_deal_tab";"client_deal_id";"deal_status_history_tab_fk"
"crm";"to_delete__deal_status_history_tab";"deal_status_id";"crm";"to_delete__deal_status_tab";"deal_status_id";"deal_status_history_tab_fk1"
"crm";"to_delete__deal_status_history_tab";"employee_id";"admin";"employee_tab";"employee_id";"deal_status_history_tab_fk2"
"crm";"to_delete__deal_status_role_tab";"deal_status_id";"crm";"to_delete__deal_status_tab";"deal_status_id";"deal_status_role_tab_fk"
